"astro-ph/0701317","Eric Linder","Eric V. Linder and Robert N. Cahn","Parameterized Beyond-Einstein Growth","8 pages; v2 minor clarifications, matches published version","Astropart.Phys.28:481-488,2007","10.1016/j.astropartphys.2007.09.003",,"astro-ph gr-qc",,"  A single parameter, the gravitational growth index \gamma, succeeds in
characterizing the growth of density perturbations in the linear regime
separately from the effects of the cosmic expansion. The parameter is
restricted to a very narrow range for models of dark energy obeying the laws of
general relativity but takes on distinctly different values in models of
beyond-Einstein gravity. In analogy to the parameterized post-Newtonian (PPN)
formalism for testing gravity, we extend and motivate the gravitational growth
index, or Minimal Modified Gravity, approach to parameterizing beyond-Einstein
cosmology. Using a simple analytic formalism, we show how the growth index
parameter applies to early dark energy, time-varying gravity, DGP braneworld
gravity, and scalar-tensor gravity.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:33:15 GMT""},{""version"":""v2"",""created"":""Wed, 19 Sep 2007 17:51:41 GMT""}]","2010-11-05"
"hep-th/0701115","Paul Smyth","Andres Collinucci, Paul Smyth and Antoine Van Proeyen","The Stability of D-term Cosmic Strings","9 pages, contribution to the proceedings of the RTN project
  `Constituents, Fundamental Forces and Symmetries of the Universe' conference
  in Napoli, October 9 - 13, 2006","Fortsch.Phys.55:686-691,2007","10.1002/prop.200610364","KUL-TF-07/04","hep-th",,"  In this note, which is based on hep-th/0611111, we review the stability of
the static, positive deficit angle D-term string solutions of D=4, N=1
supergravity with a constant Fayet-Iliopoulos term. We prove the semi-classical
stability of this class of solutions using standard positive energy theorem
techniques. In particular, we discuss how the negative deficit angle D-term
string, which also solves the Killing spinor equations, violates the dominant
energy condition and so is excluded from our arguments.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 14:08:27 GMT""}]","2008-11-26"
"hep-th/0701116","Hong-Hao Zhang","Hong-Hao Zhang, Wen-Bin Yan, Xue-Song Li","Trace Formulae of Characteristic Polynomial and Cayley-Hamilton's
  Theorem, and Applications to Chiral Perturbation Theory and General
  Relativity","10 pages","Commun.Theor.Phys.49:801,2008","10.1088/0253-6102/49/4/01",,"hep-th hep-ph math-ph math.MP",,"  By using combinatorics, we give a new proof for the recurrence relations of
the characteristic polynomial coefficients, and then we obtain an explicit
expression for the generic term of the coefficient sequence, which yields the
trace formulae of the Cayley-Hamilton's theorem with all coefficients
explicitly given, and which implies a byproduct, a complete expression for the
determinant of any finite-dimensional matrix in terms of the traces of its
successive powers. And we discuss some of their applications to chiral
perturbation theory and general relativity.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 12:45:33 GMT""}]","2008-11-26"
"hep-th/0701117","Hubert Saleur","N. Read and H. Saleur","Associative-algebraic approach to logarithmic conformal field theories",,"Nucl.Phys.B777:316-351,2007","10.1016/j.nuclphysb.2007.03.033",,"hep-th cond-mat.stat-mech math.QA",,"  We set up a strategy for studying large families of logarithmic conformal
field theories by using the enlarged symmetries and non--semi-simple
associative algebras appearing in their lattice regularizations (as discussed
in a companion paper). Here we work out in detail two examples of theories
derived as the continuum limit of XXZ spin-1/2 chains, which are related to
spin chains with supersymmetry algebras gl($n|n$) and gl($n+1|n$),
respectively, with open (or free) boundary conditions in all cases. These
theories can also be viewed as vertex models, or as loop models. Their
continuum limits are boundary conformal field theories (CFTs) with central
charge $c=-2$ and $c=0$ respectively, and in the loop interpretation they
describe dense polymers and the boundaries of critical percolation clusters,
respectively. We also discuss the case of dilute (critical) polymers as another
boundary CFT with $c=0$. Within the supersymmetric formulations, these boundary
CFTs describe the fixed points of certain nonlinear sigma models that have a
supercoset space as the target manifold, and of Landau-Ginzburg field theories.
The submodule structures of indecomposable representations of the Virasoro
algebra appearing in the boundary CFT, representing local fields, are derived
from the lattice. A central result is the derivation of the fusion rules for
these fields.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 14:49:52 GMT""}]","2008-11-26"
"hep-th/0701118","Bibhuti Bhusan Deo","B.B.Deo and P.K.Jena","Derivation of the Entropy-Area relation for the Extremal Black Hole in
  Four Dimensions","13 pages",,,,"hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The relation between entropy and the area of the event horizon of a quantum
blackhole in four dimensions is derived. The Reissner-Nordstrom metric for a
non-rotating, charged black hole is shown to be modified by the addition of a
new $\frac{1}{r^3}$ term arising from the strong interaction. The resulting
entropy-area relation agrees with the Bekenstein-Hawking relation.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 15:42:01 GMT""},{""version"":""v2"",""created"":""Sun, 4 Feb 2007 14:17:40 GMT""},{""version"":""v3"",""created"":""Wed, 4 Mar 2009 10:19:16 GMT""},{""version"":""v4"",""created"":""Fri, 3 Jul 2009 05:08:07 GMT""}]","2009-07-03"
"math-ph/0701034","Adrian Tanasa","Vincent Rivasseau (1), Adrian Tanasa (1) ((1) LPT Orsay)","Parametric representation of ""critical"" noncommutative QFT models","30 pages, 12 figures","Commun.Math.Phys.279:355-379,2008","10.1007/s00220-008-0437-1",,"math-ph hep-th math.MP",,"  We extend the parametric representation of renormalizable non commutative
quantum field theories to a class of theories which we call ""critical"", because
their power counting is definitely more difficult to obtain. This class of
theories is important since it includes gauge theories, which should be
relevant for the quantum Hall effect.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:17:42 GMT""}]","2008-11-26"
"math-ph/0701035","Thomas Schulte-Herbr\""uggen","Thomas Schulte-Herbrueggen, Gunther Dirr, Uwe Helmke, and Steffen J.
  Glaser","The Significance of the $C$-Numerical Range and the Local $C$-Numerical
  Range in Quantum Control and Quantum Information","update relating to math-ph/0702005","Lin. Multilin. Alg. 56 (2008) 3--26","10.1080/03081080701544114",,"math-ph math.MP quant-ph",,"  This paper shows how C-numerical-range related new strucures may arise from
practical problems in quantum control--and vice versa, how an understanding of
these structures helps to tackle hot topics in quantum information.
  We start out with an overview on the role of C-numerical ranges in current
research problems in quantum theory: the quantum mechanical task of maximising
the projection of a point on the unitary orbit of an initial state onto a
target state C relates to the C-numerical radius of A via maximising the trace
function |\tr \{C^\dagger UAU^\dagger\}|. In quantum control of n qubits one
may be interested (i) in having U\in SU(2^n) for the entire dynamics, or (ii)
in restricting the dynamics to {\em local} operations on each qubit, i.e. to
the n-fold tensor product SU(2)\otimes SU(2)\otimes >...\otimes SU(2).
Interestingly, the latter then leads to a novel entity, the {\em local}
C-numerical range W_{\rm loc}(C,A), whose intricate geometry is neither
star-shaped nor simply connected in contrast to the conventional C-numerical
range. This is shown in the accompanying paper (math-ph/0702005).
  We present novel applications of the C-numerical range in quantum control
assisted by gradient flows on the local unitary group: (1) they serve as
powerful tools for deciding whether a quantum interaction can be inverted in
time (in a sense generalising Hahn's famous spin echo); (2) they allow for
optimising witnesses of quantum entanglement. We conclude by relating the
relative C-numerical range to problems of constrained quantum optimisation, for
which we also give Lagrange-type gradient flow algorithms.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 18:25:07 GMT""},{""version"":""v2"",""created"":""Fri, 2 Feb 2007 10:51:48 GMT""}]","2008-12-20"
"math-ph/0701036","Andreas Fring","Andreas Fring","PT-symmetric Deformations of the Korteweg-de Vries Equation","11 pages, 3 figures","J.Phys.A40:4215-4224,2007","10.1088/1751-8113/40/15/012","CMS 01/07","math-ph hep-th math.MP quant-ph",,"  We propose a new family of complex PT-symmetric extensions of the Korteweg-de
Vries equation. The deformed equations can be associated to a sequence of
non-Hermitian Hamiltonians. The first charges related to the conservation of
mass, momentum and energy are constructed. We investigate solitary wave
solutions of the equation of motion for various boundary conditions.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:22:58 GMT""}]","2008-11-26"
"math-ph/0701037","Piotr Bizon","Piotr Bizo\'n, Tadeusz Chmaj, Andrzej Rostworowski","On asymptotic stability of the Skyrmion","4 pages, 4 figures, minor changes to match the PRD version","Phys.Rev.D75:121702,2007","10.1103/PhysRevD.75.121702",,"math-ph gr-qc hep-th math.MP",,"  We study the asymptotic behavior of spherically symmetric solutions in the
Skyrme model. We show that the relaxation to the degree-one soliton (called the
Skyrmion) has a universal form of a superposition of two effects: exponentially
damped oscillations (the quasinormal ringing) and a power law decay (the tail).
The quasinormal ringing, which dominates the dynamics for intermediate times,
is a linear resonance effect. In contrast, the polynomial tail, which becomes
uncovered at late times, is shown to be a \emph{nonlinear} phenomenon.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:50:13 GMT""},{""version"":""v2"",""created"":""Sat, 20 Jan 2007 18:36:46 GMT""},{""version"":""v3"",""created"":""Mon, 21 May 2007 04:52:33 GMT""}]","2008-11-26"
"math-ph/0701038","Tepper L. Gill","Tepper L Gill and Woodford W. Zachary","Sufficiency Class for Global (in Time) Solutions to the 3D-Navier-Stokes
  Equations","Revised and corrected version accepted for publication","Nonlinear Analysis 73 (2010) 3116 3122",,,"math-ph math.AP math.FA math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A well-known unsolved problem (in the classical theory of fluid mechanics) is
to identify a set of initial velocities, which may depend on the viscosity, the
body forces and possibly the boundary of the fluid that will allow global in
time solutions to the three-dimensional Navier-Stokes equations. (These
equations describe the time evolution of the fluid velocity and pressure of an
incompressible viscous homogeneous Newtonian fluid in terms of a given initial
velocity and given external body forces.) A related problem is to provide
conditions under which we can be assured that the weak solution is unique. In
this paper we prove that there exists a number u+ such that for all initial
velocities in a ball of radius u+, the Navier-Stokes equations have unique
strong global in time solutions, and that the corresponding weak solution is
unique.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 05:49:01 GMT""},{""version"":""v2"",""created"":""Mon, 20 Sep 2010 21:03:46 GMT""}]","2010-09-22"
"math-ph/0701039","Tepper L. Gill","Tepper L Gill and Woodford W Zachary","Constructive Representation Theory for the Feynman Operator Calculus","Corrected version, accepted for publication in Expositiones
  Mathematicae",,,,"math-ph math.AP math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper, we survey recent progress on the constructive theory of the
Feynman operator calculus. (The theory is constructive in that, operators
acting at different times, actually commute.) We first develop an operator
version of the Henstock-Kurzweil integral, and a new Hilbert space that allows
us to construct the elementary path integral in the manner originally
envisioned by Feynman. After developing our time-ordered operator theory we
extend a few of the important theorems of semigroup theory, including the
Hille-Yosida theorem. As an application, we unify and extend the theory of
time-dependent parabolic and hyperbolic evolution equations. We then develop a
general perturbation theory and use it to prove that all theories generated by
semigroups are asympotic in the operator-valued sense of Poincare. This allows
us to provide a general theory for the interaction representation of
relativistic quantum theory. We then show that our theory can be reformulated
as a physically motivated sum over paths, and use this version to extend the
Feynman path integral to include more general interactions. Our approach is
independent of the space of continuous functions and thus makes the question of
the existence of a measure more of a natural expectation than a death blow to
the foundations for the Feynman integral.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 06:04:12 GMT""},{""version"":""v2"",""created"":""Wed, 22 Dec 2010 01:25:27 GMT""},{""version"":""v3"",""created"":""Wed, 26 Jan 2011 01:19:33 GMT""}]","2011-01-27"
"math-ph/0701040","Marie-Annick Guillemer","William Layton (DEPARTMENT of Mathematics), Roger Lewandowski (IRMAR)","A high accuracy Leray-deconvolution model of turbulence and its limiting
  behavior",,,,"01-2007","math-ph math.MP",,"  In 1934 J. Leray proposed a regularization of the Navier-Stokes equations
whose limits were weak solutions of the NSE. Recently, a modification of the
Leray model, called the Leray-alpha model, has atracted study for turbulent
flow simulation. One common drawback of Leray type regularizations is their low
accuracy. Increasing the accuracy of a simulation based on a Leray
regularization requires cutting the averaging radius, i.e., remeshing and
resolving on finer meshes. This report analyzes a family of Leray type models
of arbitrarily high orders of accuracy for fixed averaging radius. We establish
the basic theory of the entire family including limiting behavior as the
averaging radius decreases to zero, (a simple extension of results known for
the Leray model). We also give a more technically interesting result on the
limit as the order of the models increases with fixed averaging radius. Because
of this property, increasing accuracy of the model is potentially cheaper than
decreasing the averaging radius (or meshwidth) and high order models are doubly
interesting.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 14:09:48 GMT""}]","2007-05-23"
